,War,Start Date,End Date,Participant,Location,Casualties,Cause,Effect,Normalized Participant
11900,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,42295,Putin's Plan,Wagner Group–Russian Ministry of Defence conflict,Russia
11910,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,10000,Russian irredentism,Wagner Group–Russian Ministry of Defence conflict,Russia
11925,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,42295,eastward expansion of NATO,international sanctions during the Russian invasion of Ukraine,Russia
11931,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,42295,eastward expansion of NATO,international sanctions during the Russian invasion of Ukraine,Russia
11940,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,10000,Russian irredentism,Wagner Group–Russian Ministry of Defence conflict,Russia
11958,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,42295,presidency of Viktor Yanukovych,Wagner Group rebellion,Russia
11968,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,10000,Putin's Plan,Wagner Group–Russian Ministry of Defence conflict,Russia
11977,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,10000,presidency of Viktor Yanukovych,Wagner Group rebellion,Russia
11987,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,42295,presidency of Viktor Yanukovych,Wagner Group rebellion,Russia
11998,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,42295,Putin's Plan,Wagner Group–Russian Ministry of Defence conflict,Russia
12008,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,42295,Putin's Plan,Wagner Group–Russian Ministry of Defence conflict,Russia
12011,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,42295,presidency of Viktor Yanukovych,Wagner Group rebellion,Russia
12018,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,10000,Putin's Plan,Wagner Group–Russian Ministry of Defence conflict,Russia
12028,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,42295,Putin's Plan,Wagner Group–Russian Ministry of Defence conflict,Russia
12038,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,10000,Ukraine bioweapons conspiracy theory,Q117749106,Russia
12048,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,10000,Ukraine bioweapons conspiracy theory,Q117749106,Russia
12057,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,42295,presidency of Viktor Yanukovych,2022 Russian mobilization,Russia
12067,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,42295,presidency of Viktor Yanukovych,2022 Russian mobilization,Russia
12078,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,42295,Ukraine bioweapons conspiracy theory,Q117749106,Russia
12097,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,42295,Ukraine bioweapons conspiracy theory,Q117749106,Russia
12107,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,42295,Ukraine bioweapons conspiracy theory,Q117749106,Russia
12115,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,42295,Russian irredentism,2022 Russian mobilization,Russia
12125,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,42295,Russian irredentism,2022 Russian mobilization,Russia
12134,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,42295,Russian irredentism,2022 Russian mobilization,Russia
12144,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,42295,Russian irredentism,2022 Russian mobilization,Russia
12155,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,10000,presidency of Viktor Yanukovych,2022 Russian mobilization,Russia
12165,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,10000,presidency of Viktor Yanukovych,2022 Russian mobilization,Russia
12168,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,42295,Ukraine bioweapons conspiracy theory,Q117749106,Russia
12175,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,10000,presidency of Viktor Yanukovych,2022 Russian mobilization,Russia
12185,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,10000,presidency of Viktor Yanukovych,2022 Russian mobilization,Russia
12198,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,10000,eastward expansion of NATO,economic impact of the Russian invasion of Ukraine,Russia
12208,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,42295,Ukraine bioweapons conspiracy theory,economic impact of the Russian invasion of Ukraine,Russia
12218,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,42295,Ukraine bioweapons conspiracy theory,economic impact of the Russian invasion of Ukraine,Russia
12238,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,42295,presidency of Viktor Yanukovych,Wagner Group rebellion,Russia
12246,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,10000,eastward expansion of NATO,economic impact of the Russian invasion of Ukraine,Russia
12256,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,10000,eastward expansion of NATO,economic impact of the Russian invasion of Ukraine,Russia
12265,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,10000,eastward expansion of NATO,economic impact of the Russian invasion of Ukraine,Russia
12267,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,42295,Ukraine bioweapons conspiracy theory,economic impact of the Russian invasion of Ukraine,Russia
12275,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,10000,eastward expansion of NATO,Q117749106,Russia
12287,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,10000,eastward expansion of NATO,Q117749106,Russia
12294,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,10000,eastward expansion of NATO,Q117749106,Russia
12305,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,10000,eastward expansion of NATO,Q117749106,Russia
12316,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,42295,Ukraine bioweapons conspiracy theory,economic impact of the Russian invasion of Ukraine,Russia
12335,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,10000,Ukraine bioweapons conspiracy theory,economic impact of the Russian invasion of Ukraine,Russia
12336,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,10000,Ukraine bioweapons conspiracy theory,economic impact of the Russian invasion of Ukraine,Russia
12347,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,42295,eastward expansion of NATO,Q117749106,Russia
12354,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,10000,2024 Russian presidential election,2022 annexation referendums in Russian-occupied Ukraine,Russia
12357,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,42295,2024 Russian presidential election,2022 annexation referendums in Russian-occupied Ukraine,Russia
12374,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,10000,2024 Russian presidential election,2022 annexation referendums in Russian-occupied Ukraine,Russia
12387,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,42295,2024 Russian presidential election,2022 annexation referendums in Russian-occupied Ukraine,Russia
12397,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,10000,Ukraine bioweapons conspiracy theory,2022 annexation referendums in Russian-occupied Ukraine,Russia
12404,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,42295,2024 Russian presidential election,2022 annexation referendums in Russian-occupied Ukraine,Russia
12414,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,42295,2024 Russian presidential election,2022 annexation referendums in Russian-occupied Ukraine,Russia
12419,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,10000,2024 Russian presidential election,2022 annexation referendums in Russian-occupied Ukraine,Russia
12426,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,42295,2024 Russian presidential election,solidarity concerts for Ukraine,Russia
12443,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,42295,2024 Russian presidential election,solidarity concerts for Ukraine,Russia
12453,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,42295,2024 Russian presidential election,solidarity concerts for Ukraine,Russia
12455,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,42295,2024 Russian presidential election,solidarity concerts for Ukraine,Russia
12466,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,10000,2024 Russian presidential election,attacks in Russia during the Russian invasion of Ukraine,Russia
12484,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,10000,Ukraine bioweapons conspiracy theory,solidarity concerts for Ukraine,Russia
12493,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,10000,Ukraine bioweapons conspiracy theory,solidarity concerts for Ukraine,Russia
12497,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,10000,Ukraine bioweapons conspiracy theory,attacks in Russia during the Russian invasion of Ukraine,Russia
12507,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,10000,Ukraine bioweapons conspiracy theory,attacks in Russia during the Russian invasion of Ukraine,Russia
12524,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,42295,2024 Russian presidential election,attacks in Russia during the Russian invasion of Ukraine,Russia
12531,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,42295,2024 Russian presidential election,attacks in Russia during the Russian invasion of Ukraine,Russia
12537,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,10000,2024 Russian presidential election,nuclear risk during the Russian invasion of Ukraine,Russia
12547,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,10000,2024 Russian presidential election,nuclear risk during the Russian invasion of Ukraine,Russia
12554,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,10000,2024 Russian presidential election,2022 annexation referendums in Russian-occupied Ukraine,Russia
12564,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,10000,2024 Russian presidential election,nuclear risk during the Russian invasion of Ukraine,Russia
12576,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,10000,2024 Russian presidential election,attacks in Russia during the Russian invasion of Ukraine,Russia
12593,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,10000,Ukraine bioweapons conspiracy theory,2022 annexation referendums in Russian-occupied Ukraine,Russia
12603,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,10000,2024 Russian presidential election,nuclear risk during the Russian invasion of Ukraine,Russia
12605,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,10000,2024 Russian presidential election,attacks in Russia during the Russian invasion of Ukraine,Russia
12616,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,42295,2024 Russian presidential election,attacks in Russia during the Russian invasion of Ukraine,Russia
12625,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,42295,2024 Russian presidential election,attacks in Russia during the Russian invasion of Ukraine,Russia
12634,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,10000,2024 Russian presidential election,attacks in Russia during the Russian invasion of Ukraine,Russia
12654,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,42295,2024 Russian presidential election,Call Russia,Russia
12661,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,10000,2024 Russian presidential election,Call Russia,Russia
12671,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,10000,2024 Russian presidential election,Call Russia,Russia
12684,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,42295,2024 Russian presidential election,Call Russia,Russia
12694,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,10000,Ukraine bioweapons conspiracy theory,Call Russia,Russia
12701,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,42295,2024 Russian presidential election,Call Russia,Russia
12711,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,42295,2024 Russian presidential election,Call Russia,Russia
12718,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,10000,2024 Russian presidential election,Call Russia,Russia
12723,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,42295,2024 Russian presidential election,Ukrainian refugee crisis,Russia
12733,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,42295,2024 Russian presidential election,Ukrainian refugee crisis,Russia
12740,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,42295,2024 Russian presidential election,Ukrainian refugee crisis,Russia
12750,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,42295,2024 Russian presidential election,Ukrainian refugee crisis,Russia
12763,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,10000,2024 Russian presidential election,economic impact of the Russian invasion of Ukraine,Russia
12775,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,10000,Ukraine bioweapons conspiracy theory,Ukrainian refugee crisis,Russia
12781,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,10000,Ukraine bioweapons conspiracy theory,Ukrainian refugee crisis,Russia
12801,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,10000,Ukraine bioweapons conspiracy theory,reactions to the Russian invasion of Ukraine,Russia
12804,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,10000,Ukraine bioweapons conspiracy theory,reactions to the Russian invasion of Ukraine,Russia
12821,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,42295,2024 Russian presidential election,reactions to the Russian invasion of Ukraine,Russia
12834,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,10000,2024 Russian presidential election,solidarity concerts for Ukraine,Russia
12844,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,10000,2024 Russian presidential election,solidarity concerts for Ukraine,Russia
12852,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,10000,2024 Russian presidential election,international sanctions during the Russian invasion of Ukraine,Russia
12862,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,10000,2024 Russian presidential election,solidarity concerts for Ukraine,Russia
12868,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,42295,2024 Russian presidential election,reactions to the Russian invasion of Ukraine,Russia
12874,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,10000,2024 Russian presidential election,reactions to the Russian invasion of Ukraine,Russia
12891,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,10000,Ukraine bioweapons conspiracy theory,Call Russia,Russia
12901,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,10000,2024 Russian presidential election,solidarity concerts for Ukraine,Russia
12903,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,10000,2024 Russian presidential election,reactions to the Russian invasion of Ukraine,Russia
12914,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,42295,2024 Russian presidential election,reactions to the Russian invasion of Ukraine,Russia
12932,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,10000,2024 Russian presidential election,reactions to the Russian invasion of Ukraine,Russia
12941,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,42295,2024 Russian presidential election,reactions to the Russian invasion of Ukraine,Russia
12947,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,10000,2024 Russian presidential election,Wagner Group rebellion,Russia
12957,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,42295,2024 Russian presidential election,Wagner Group rebellion,Russia
12964,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,10000,2024 Russian presidential election,Wagner Group rebellion,Russia
12974,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,10000,2024 Russian presidential election,Wagner Group rebellion,Russia
12987,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,42295,2024 Russian presidential election,Wagner Group rebellion,Russia
13004,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,42295,2024 Russian presidential election,Wagner Group rebellion,Russia
13014,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,42295,2024 Russian presidential election,Wagner Group rebellion,Russia
13033,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,42295,2024 Russian presidential election,Q117749106,Russia
13035,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,42295,2024 Russian presidential election,Q117749106,Russia
13043,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,42295,2024 Russian presidential election,Q117749106,Russia
13055,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,42295,2024 Russian presidential election,Q117749106,Russia
13056,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,10000,Ukraine bioweapons conspiracy theory,Q117749106,Russia
13066,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,10000,2024 Russian presidential election,Wagner Group rebellion,Russia
13084,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,10000,Ukraine bioweapons conspiracy theory,Q117749106,Russia
13092,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,10000,Ukraine bioweapons conspiracy theory,Wagner Group rebellion,Russia
13097,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,10000,Ukraine bioweapons conspiracy theory,Wagner Group–Russian Ministry of Defence conflict,Russia
13107,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,10000,Ukraine bioweapons conspiracy theory,Wagner Group–Russian Ministry of Defence conflict,Russia
13114,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,42295,2024 Russian presidential election,Wagner Group–Russian Ministry of Defence conflict,Russia
13124,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,42295,2024 Russian presidential election,Wagner Group–Russian Ministry of Defence conflict,Russia
13135,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,42295,eastward expansion of NATO,Wagner Group–Russian Ministry of Defence conflict,Russia
13152,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,42295,eastward expansion of NATO,Wagner Group–Russian Ministry of Defence conflict,Russia
13162,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,42295,eastward expansion of NATO,Wagner Group–Russian Ministry of Defence conflict,Russia
13176,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,10000,2024 Russian presidential election,Wagner Group–Russian Ministry of Defence conflict,Russia
13183,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,10000,2024 Russian presidential election,Wagner Group–Russian Ministry of Defence conflict,Russia
13193,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,10000,Ukraine bioweapons conspiracy theory,Wagner Group rebellion,Russia
13206,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,42295,2024 Russian presidential election,Wagner Group–Russian Ministry of Defence conflict,Russia
13216,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,42295,2024 Russian presidential election,Wagner Group–Russian Ministry of Defence conflict,Russia
13224,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,10000,2024 Russian presidential election,Wagner Group–Russian Ministry of Defence conflict,Russia
13234,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,10000,2024 Russian presidential election,Wagner Group–Russian Ministry of Defence conflict,Russia
13242,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,10000,2024 Russian presidential election,Q117749106,Russia
13244,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,10000,2024 Russian presidential election,2022 Russian mobilization,Russia
13254,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,42295,2024 Russian presidential election,2022 Russian mobilization,Russia
13261,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,10000,2024 Russian presidential election,2022 Russian mobilization,Russia
13271,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,10000,2024 Russian presidential election,2022 Russian mobilization,Russia
13284,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,42295,2024 Russian presidential election,2022 Russian mobilization,Russia
13301,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,42295,2024 Russian presidential election,2022 Russian mobilization,Russia
13311,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,42295,2024 Russian presidential election,2022 Russian mobilization,Russia
13324,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,42295,2024 Russian presidential election,nuclear risk during the Russian invasion of Ukraine,Russia
13334,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,42295,2024 Russian presidential election,nuclear risk during the Russian invasion of Ukraine,Russia
13340,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,42295,2024 Russian presidential election,nuclear risk during the Russian invasion of Ukraine,Russia
13352,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,42295,2024 Russian presidential election,nuclear risk during the Russian invasion of Ukraine,Russia
13363,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,10000,2024 Russian presidential election,2022 Russian mobilization,Russia
13369,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,10000,Ukraine bioweapons conspiracy theory,nuclear risk during the Russian invasion of Ukraine,Russia
13370,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,10000,Ukraine bioweapons conspiracy theory,2022 Russian mobilization,Russia
13381,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,10000,Ukraine bioweapons conspiracy theory,nuclear risk during the Russian invasion of Ukraine,Russia
13394,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,10000,Ukraine bioweapons conspiracy theory,accession of Finland and Sweden to NATO,Russia
13404,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,10000,Ukraine bioweapons conspiracy theory,accession of Finland and Sweden to NATO,Russia
13411,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,42295,2024 Russian presidential election,accession of Finland and Sweden to NATO,Russia
13421,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,42295,2024 Russian presidential election,accession of Finland and Sweden to NATO,Russia
13434,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,10000,2024 Russian presidential election,Q117749106,Russia
13452,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,10000,2024 Russian presidential election,Q117749106,Russia
13462,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,10000,2024 Russian presidential election,Q117749106,Russia
13481,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,10000,2024 Russian presidential election,accession of Finland and Sweden to NATO,Russia
13483,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,10000,2024 Russian presidential election,accession of Finland and Sweden to NATO,Russia
13491,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,10000,Ukraine bioweapons conspiracy theory,2022 Russian mobilization,Russia
13503,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,10000,2024 Russian presidential election,accession of Finland and Sweden to NATO,Russia
13504,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,42295,2024 Russian presidential election,accession of Finland and Sweden to NATO,Russia
13514,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,42295,2024 Russian presidential election,accession of Finland and Sweden to NATO,Russia
13532,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,10000,2024 Russian presidential election,accession of Finland and Sweden to NATO,Russia
13548,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,42295,presidency of Viktor Yanukovych,nuclear risk during the Russian invasion of Ukraine,Russia
13551,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,42295,presidency of Viktor Yanukovych,nuclear risk during the Russian invasion of Ukraine,Russia
13571,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,10000,2024 Russian presidential election,Finland–NATO relations,Russia
13576,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,42295,eastward expansion of NATO,nuclear risk during the Russian invasion of Ukraine,Russia
13581,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,10000,decommunization in Ukraine,nuclear risk during the Russian invasion of Ukraine,Russia
13591,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,10000,decommunization in Ukraine,nuclear risk during the Russian invasion of Ukraine,Russia
13598,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,10000,decommunization in Ukraine,nuclear risk during the Russian invasion of Ukraine,Russia
13608,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,10000,decommunization in Ukraine,nuclear risk during the Russian invasion of Ukraine,Russia
13619,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Russia,42295,eastward expansion of NATO,2022 annexation referendums in Russian-occupied Ukraine,Russia
13629,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Ukraine,42295,eastward expansion of NATO,2022 annexation referendums in Russian-occupied Ukraine,Russia
13634,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Crimea,42295,eastward expansion of NATO,attacks in Russia during the Russian invasion of Ukraine,Russia
13644,Russian invasion of Ukraine,2022-02-24 00:00:00+00:00,,Russia,Eastern Europe,42295,eastward expansion of NATO,attacks in Russia during the Russian invasion of Ukraine,Russia
